symbol,ts,open,high,low,close,volume,timeframe
AAPL,2026-04-07 19:29:00,252.11,252.12,251.93,251.96,59389.0,1m
AAPL,2026-04-07 19:30:00,251.92,251.93,251.74,251.78,42731.0,1m
AAPL,2026-04-07 19:31:00,251.77,251.77,251.54,251.64,56176.0,1m
AAPL,2026-04-07 19:32:00,251.66,251.92,251.65,251.7,48188.0,1m
AAPL,2026-04-07 19:33:00,251.67,251.86,251.62,251.82,47403.0,1m
AAPL,2026-04-07 19:34:00,251.82,251.84,251.72,251.72,33432.0,1m
AAPL,2026-04-07 19:35:00,251.72,251.73,251.44,251.46,48075.0,1m
AAPL,2026-04-07 19:36:00,251.46,251.69,251.46,251.63,46781.0,1m
AAPL,2026-04-07 19:37:00,251.64,251.71,251.6,251.67,34374.0,1m
AAPL,2026-04-07 19:38:00,251.68,251.71,251.52,251.58,42490.0,1m
AAPL,2026-04-07 19:39:00,251.59,251.64,251.51,251.59,77015.0,1m
AAPL,2026-04-07 19:40:00,251.58,251.76,251.49,251.68,47459.0,1m
AAPL,2026-04-07 19:41:00,251.67,251.84,251.62,251.84,56785.0,1m
AAPL,2026-04-07 19:42:00,251.84,252.02,251.84,251.88,52221.0,1m
AAPL,2026-04-07 19:43:00,251.89,252.11,251.86,251.95,48804.0,1m
AAPL,2026-04-07 19:44:00,251.96,252.42,251.92,252.13,102815.0,1m
AAPL,2026-04-07 19:45:00,252.13,253.21,251.97,253.12,205778.0,1m
AAPL,2026-04-07 19:46:00,253.12,253.15,252.36,252.74,168694.0,1m
AAPL,2026-04-07 19:47:00,252.75,252.75,252.44,252.62,139750.0,1m
AAPL,2026-04-07 19:48:00,252.62,252.7,252.43,252.49,79584.0,1m
AAPL,2026-04-07 19:49:00,252.5,252.62,252.23,252.37,149309.0,1m
AAPL,2026-04-07 19:50:00,252.4,253.01,252.4,252.68,153873.0,1m
AAPL,2026-04-07 19:51:00,252.68,252.74,252.54,252.72,103904.0,1m
AAPL,2026-04-07 19:52:00,252.72,252.81,252.6,252.69,155420.0,1m
AAPL,2026-04-07 19:53:00,252.69,253.2,252.68,252.99,255050.0,1m
AAPL,2026-04-07 19:54:00,253.0,253.08,252.63,253.04,182502.0,1m
AAPL,2026-04-07 19:55:00,253.06,253.39,252.95,253.24,244104.0,1m
AAPL,2026-04-07 19:56:00,253.25,253.42,253.24,253.36,202354.0,1m
AAPL,2026-04-07 19:57:00,253.36,253.42,253.09,253.21,279569.0,1m
AAPL,2026-04-07 19:58:00,253.23,253.25,253.1,253.14,286272.0,1m
AAPL,2026-04-07 19:59:00,253.14,253.61,253.1,253.49,775399.0,1m
AAPL,2026-04-08 13:30:00,258.4,258.57,257.28,257.86,966627.0,1m
AAPL,2026-04-08 13:31:00,257.86,258.11,256.78,256.9,189665.0,1m
AAPL,2026-04-08 13:32:00,256.94,257.07,256.61,256.85,151856.0,1m
AAPL,2026-04-08 13:33:00,256.83,257.27,256.66,257.25,144052.0,1m
AAPL,2026-04-08 13:34:00,257.25,258.25,257.25,257.92,202487.0,1m
AAPL,2026-04-08 13:35:00,257.92,258.04,257.63,257.85,140137.0,1m
AAPL,2026-04-08 13:36:00,257.86,257.95,257.17,257.43,180618.0,1m
AAPL,2026-04-08 13:37:00,257.4,257.5,256.99,257.08,150741.0,1m
AAPL,2026-04-08 13:38:00,257.09,257.33,256.87,257.29,129468.0,1m
AAPL,2026-04-08 13:39:00,257.25,257.33,256.72,256.79,86210.0,1m
AAPL,2026-04-08 13:40:00,256.79,257.12,256.53,256.62,137279.0,1m
AAPL,2026-04-08 13:41:00,256.63,256.87,256.55,256.83,97040.0,1m
AAPL,2026-04-08 13:42:00,256.81,257.24,256.81,256.87,121725.0,1m
AAPL,2026-04-08 13:43:00,256.88,257.17,256.87,257.09,98479.0,1m
AAPL,2026-04-08 13:44:00,257.06,257.55,256.98,257.18,138982.0,1m
AAPL,2026-04-08 13:45:00,257.23,257.64,257.12,257.62,98492.0,1m
AAPL,2026-04-08 13:46:00,257.64,258.38,257.62,258.36,131169.0,1m
AAPL,2026-04-08 13:47:00,258.39,258.65,258.21,258.63,133535.0,1m
AAPL,2026-04-08 13:48:00,258.65,258.73,258.19,258.56,120959.0,1m
AAPL,2026-04-08 13:49:00,258.58,258.76,258.5,258.62,78638.0,1m
AAPL,2026-04-08 13:50:00,258.62,258.65,258.36,258.57,82315.0,1m
AAPL,2026-04-08 13:51:00,258.55,258.55,257.89,258.07,81125.0,1m
AAPL,2026-04-08 13:52:00,258.08,258.55,258.05,258.54,71054.0,1m
AAPL,2026-04-08 13:53:00,258.54,258.68,258.37,258.47,83612.0,1m
AAPL,2026-04-08 13:54:00,258.48,258.64,258.18,258.27,103429.0,1m
AAPL,2026-04-08 13:55:00,258.22,258.67,258.17,258.3,83253.0,1m
AAPL,2026-04-08 13:56:00,258.33,258.75,258.31,258.4,90149.0,1m
AAPL,2026-04-08 13:57:00,258.41,258.48,258.08,258.3,125961.0,1m
AAPL,2026-04-08 13:58:00,258.32,258.69,258.31,258.43,43777.0,1m
AAPL,2026-04-08 13:59:00,258.44,258.59,258.25,258.52,107239.0,1m
AAPL,2026-04-08 14:00:00,258.5,258.73,258.27,258.7,165693.0,1m
AAPL,2026-04-08 14:01:00,258.69,258.69,258.28,258.35,64632.0,1m
AAPL,2026-04-08 14:02:00,258.36,258.74,258.32,258.72,75025.0,1m
AAPL,2026-04-08 14:03:00,258.74,259.02,258.69,258.78,142246.0,1m
AAPL,2026-04-08 14:04:00,258.79,259.13,258.76,258.86,131907.0,1m
AAPL,2026-04-08 14:05:00,258.9,259.07,258.51,258.77,83122.0,1m
AAPL,2026-04-08 14:06:00,258.78,259.22,258.55,259.2,67609.0,1m
AAPL,2026-04-08 14:07:00,259.2,259.75,259.13,259.48,144066.0,1m
AAPL,2026-04-08 14:08:00,259.48,259.52,258.78,258.97,82048.0,1m
AAPL,2026-04-08 14:09:00,258.94,259.39,258.92,259.35,102049.0,1m
AAPL,2026-04-08 14:10:00,259.38,259.47,259.23,259.23,63725.0,1m
AAPL,2026-04-08 14:11:00,259.2,259.4,259.08,259.3,73795.0,1m
AAPL,2026-04-08 14:12:00,259.3,259.3,259.09,259.13,50616.0,1m
AAPL,2026-04-08 14:13:00,259.15,259.21,258.96,259.05,82485.0,1m
AAPL,2026-04-08 14:14:00,259.05,259.05,258.81,258.85,81155.0,1m
AAPL,2026-04-08 14:15:00,258.85,259.1,258.84,259.1,65721.0,1m
AAPL,2026-04-08 14:16:00,259.11,259.13,258.7,258.72,42844.0,1m
AAPL,2026-04-08 14:17:00,258.75,258.87,258.69,258.74,43018.0,1m
AAPL,2026-04-08 14:18:00,258.74,258.78,258.33,258.35,78963.0,1m
AAPL,2026-04-08 14:19:00,258.38,258.52,258.31,258.4,48863.0,1m
AAPL,2026-04-08 14:20:00,258.42,258.72,258.36,258.56,35471.0,1m
AAPL,2026-04-08 14:21:00,258.56,258.93,258.55,258.74,49617.0,1m
AAPL,2026-04-08 14:22:00,258.75,258.85,258.6,258.69,52842.0,1m
AAPL,2026-04-08 14:23:00,258.72,258.72,258.44,258.44,35009.0,1m
AAPL,2026-04-08 14:24:00,258.46,258.58,258.39,258.4,81638.0,1m
AAPL,2026-04-08 14:25:00,258.4,258.42,258.03,258.23,120969.0,1m
AAPL,2026-04-08 14:26:00,258.25,258.4,258.08,258.35,73575.0,1m
AAPL,2026-04-08 14:27:00,258.35,258.62,258.35,258.45,74437.0,1m
AAPL,2026-04-08 14:28:00,258.46,258.6,258.12,258.2,37548.0,1m
AAPL,2026-04-08 14:29:00,258.2,258.23,258.1,258.13,38831.0,1m
AAPL,2026-04-08 14:30:00,258.14,258.18,257.69,257.86,104897.0,1m
AAPL,2026-04-08 14:31:00,257.9,258.04,257.64,257.91,106220.0,1m
AAPL,2026-04-08 14:32:00,257.91,258.04,257.9,257.94,82755.0,1m
AAPL,2026-04-08 14:33:00,257.92,258.09,257.86,258.05,74951.0,1m
AAPL,2026-04-08 14:34:00,258.06,258.09,257.89,258.05,45554.0,1m
AAPL,2026-04-08 14:35:00,258.06,258.21,257.93,258.2,72295.0,1m
AAPL,2026-04-08 14:36:00,258.19,258.28,258.04,258.18,87008.0,1m
AAPL,2026-04-08 14:37:00,258.2,258.38,258.12,258.31,54161.0,1m
AAPL,2026-04-08 14:38:00,258.32,258.32,258.0,258.02,36357.0,1m
AAPL,2026-04-08 14:39:00,258.03,258.35,258.01,258.35,52230.0,1m
AAPL,2026-04-08 14:40:00,258.35,258.45,258.15,258.31,35965.0,1m
AAPL,2026-04-08 14:41:00,258.31,258.4,258.27,258.34,41181.0,1m
AAPL,2026-04-08 14:42:00,258.35,258.52,258.25,258.49,43619.0,1m
AAPL,2026-04-08 14:43:00,258.52,258.58,258.32,258.4,32186.0,1m
AAPL,2026-04-08 14:44:00,258.39,258.43,258.25,258.3,36372.0,1m
AAPL,2026-04-08 14:45:00,258.3,258.38,258.09,258.15,31549.0,1m
AAPL,2026-04-08 14:46:00,258.19,258.25,258.09,258.18,31074.0,1m
AAPL,2026-04-08 14:47:00,258.16,258.41,258.16,258.39,43055.0,1m
AAPL,2026-04-08 14:48:00,258.38,258.61,258.38,258.55,51940.0,1m
AAPL,2026-04-08 14:49:00,258.53,258.77,258.44,258.59,35807.0,1m
AAPL,2026-04-08 14:50:00,258.58,258.75,258.5,258.64,27809.0,1m
AAPL,2026-04-08 14:51:00,258.66,258.67,258.4,258.46,29440.0,1m
AAPL,2026-04-08 14:52:00,258.46,258.67,258.38,258.46,50575.0,1m
AAPL,2026-04-08 14:53:00,258.43,258.62,258.35,258.56,36164.0,1m
AAPL,2026-04-08 14:54:00,258.56,258.74,258.5,258.69,58296.0,1m
AAPL,2026-04-08 14:55:00,258.67,258.67,258.46,258.5,41344.0,1m
AAPL,2026-04-08 14:56:00,258.51,258.69,258.38,258.61,57250.0,1m
AAPL,2026-04-08 14:57:00,258.6,258.74,258.55,258.65,48996.0,1m
AAPL,2026-04-08 14:58:00,258.63,258.75,258.61,258.65,30417.0,1m
AAPL,2026-04-08 14:59:00,258.66,258.9,258.65,258.9,47961.0,1m
AAPL,2026-04-08 15:00:00,258.92,259.07,258.86,258.92,60956.0,1m
AAPL,2026-04-08 15:01:00,258.93,259.31,258.93,259.31,45343.0,1m
AAPL,2026-04-08 15:02:00,259.32,259.5,259.16,259.26,84345.0,1m
AAPL,2026-04-08 15:03:00,259.26,259.46,259.26,259.39,52941.0,1m
AAPL,2026-04-08 15:04:00,259.42,259.44,259.25,259.4,74665.0,1m
AAPL,2026-04-08 15:05:00,259.41,259.51,259.35,259.39,56578.0,1m
AAPL,2026-04-08 15:06:00,259.4,259.4,259.23,259.32,37106.0,1m
AAPL,2026-04-08 15:07:00,259.34,259.51,259.28,259.32,44997.0,1m
AAPL,2026-04-08 15:08:00,259.35,259.37,259.1,259.15,78383.0,1m
AAPL,2026-04-08 15:09:00,259.16,259.16,258.77,258.79,66141.0,1m
AAPL,2026-04-08 15:10:00,258.82,258.83,258.44,258.52,59989.0,1m
AAPL,2026-04-08 15:11:00,258.5,258.69,258.4,258.49,52004.0,1m
AAPL,2026-04-08 15:12:00,258.47,258.51,258.29,258.35,64571.0,1m
AAPL,2026-04-08 15:13:00,258.37,258.52,258.3,258.45,42239.0,1m
